Met,L,k,x0,C
Mannitol,2206.494pm90.950,-0.191pm0.015,12.747pm0.378,-65.023pm36.829
Acetate,28.361pm0.170,10.561pm1454.676,11.850pm42.383,
Alanine,126.398pm1.468,0.962pm0.093,13.272pm0.128,
Ethanol,199.489pm4.688,0.298pm0.022,18.620pm0.347,
