Met,L,k,x0,C
Mannitol,2211.060pm91.393,-0.191pm0.015,12.749pm0.379,-66.242pm36.999
Acetate,28.780pm0.175,10.302pm1100.018,11.851pm32.822,
Alanine,127.472pm1.512,0.968pm0.096,13.279pm0.131,
Ethanol,202.005pm4.802,0.297pm0.022,18.664pm0.351,
