Met,L,k,x0,C
Mannitol,28.623pm1.180,-0.191pm0.015,12.747pm0.378,-0.843pm0.478
Acetate,5.217pm0.031,10.561pm1454.676,11.850pm42.383,
Alanine,5.226pm0.061,0.962pm0.093,13.272pm0.128,
Ethanol,12.768pm0.300,0.298pm0.022,18.620pm0.347,
