,parameter,values,met_id
0,L,28.584391335782588,mnl
1,k,-0.18646998562093672,mnl
2,x0,12.543633880391916,mnl
0,L,4.819046314658275,ac
1,k,1.0985510701640964,ac
2,x0,-21.336525337338173,ac
0,L,5.521216429429392,alaL
1,k,0.5762471506323226,alaL
2,x0,12.884007949757784,alaL
0,L,14.033759629359034,eto
1,k,0.2764820065080776,eto
2,x0,19.550513966891597,eto
