,parameter,values,met_id
0,L,28.623499679871927,mnl1p
1,k,-0.1911462155204267,mnl1p
2,x0,12.746525693203804,mnl1p
0,L,5.2172755344370945,ac
1,k,10.56075737983536,ac
2,x0,11.849523841466164,ac
0,L,5.226059495496268,alaL
1,k,0.9620738176704351,alaL
2,x0,13.272490145965081,alaL
0,L,12.76830657871647,eto
1,k,0.29781854682685266,eto
2,x0,18.620112153766794,eto
