Met,L,k,x0,C
Mannitol,28.638pm1.184,-0.191pm0.015,12.749pm0.379,-0.858pm0.479
Acetate,5.286pm0.032,10.302pm1100.018,11.851pm32.822,
Alanine,5.262pm0.062,0.968pm0.096,13.279pm0.131,
Ethanol,12.909pm0.307,0.297pm0.022,18.664pm0.351,
