	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.3863174837366	85.21598	0.017629474140505863	0
1	Alanine	l	53.607644096671606	116.62301	0.028474143368924842	0
2	Alanine	l	53.37721933581713	153.26451	0.026225820590894955	0
3	n-Butanol	l	36.279778549298925	77.11941	0.02130019740428679	0
4	Acetate	l	26.170600757509305	285.3049	0.017757382695037904	0
5	Acetate	l	26.006047966658286	171.09729	0.014715548395088263	0
6	Acetate	l	25.823639681409162	263.7229	0.019914013614851456	0
7	Acetate	l	25.270546508276993	105.84838	0.016835538670193273	0
8	Alanine	l	19.144300991018753	242.34944	0.016036068908988454	0
9	Alanine	l	19.039727422005086	126.602165	0.02452405559898807	0
10	Alanine	l	18.912063593944936	253.65111	0.022079968364607794	0
