	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	73.92983839654647	468.4914	0.0264017800785723	0
1	Mannitol	l	73.84504010320259	395.99133	0.03743997059365256	0
2	Mannitol	l	73.72288392901586	406.7697	0.027711187315844654	0
3	Mannitol	l	73.64463605829587	897.2056	0.04070944187162695	0
4	Mannitol	l	73.57335848313406	355.6429	0.032484328004358076	0
5	Mannitol	l	73.44860286999338	562.25287	0.033887829770293365	0
6	Mannitol	l	73.3650685396847	681.63214	0.0315282398078125	0
7	Mannitol	l	72.37082626069343	218.76595	0.029699158700424277	0
8	Mannitol	l	72.17885712723088	1165.9788	0.03372609143136174	0
9	Mannitol	l	72.0952287631099	866.0844	0.036987596829249014	0
10	Mannitol	l	71.9705219651008	715.57263	0.03393810463069258	0
11	Mannitol	l	71.88598268207161	807.09827	0.03793174712501468	0
12	Mannitol	l	66.06763195887171	2524.1455	0.029519269751602906	0
13	Mannitol	l	65.79534515455288	2311.958	0.030450415332666125	0
14	Acetate	l	26.080173234353083	194.73727	0.020998131769545125	0
15	Acetate	l	25.732933776908368	183.51825	0.02778860284405482	0
16	Alanine	l	18.982985636668275	168.81555	0.0	0
17	Alanine	l	18.747970134097585	178.64233	0.027269714064573236	0
