,parameter,values,met_id
0,L,23.778443908436177,mnl1p
1,k,-0.2621015338597334,mnl1p
2,x0,11.646648125931964,mnl1p
0,L,4.3645518053744015,ac
1,k,17.330649160728434,ac
2,x0,8.743564807038886,ac
0,L,4.303210493825769,alaL
1,k,0.41011689899005105,alaL
2,x0,13.933731276758921,alaL
0,L,7.721810228553511,eto
1,k,0.2828229401503132,eto
2,x0,18.670967314094007,eto
