Met,L,k,x0,C
Mannitol,1967.270pm45.483,-0.262pm0.013,11.647pm0.202,331.062pm16.465
Acetate,25.464pm0.424,17.331pm25903.135,8.744pm167.262,
Alanine,111.702pm6.073,0.410pm0.102,13.934pm0.697,
Ethanol,129.481pm4.400,0.283pm0.029,18.671pm0.508,
