Met,L,k,x0,C
Mannitol,23.778pm0.550,-0.262pm0.013,11.647pm0.202,4.002pm0.199
Acetate,4.365pm0.073,17.330pm25898.524,8.744pm167.237,
Alanine,4.858pm0.125,0.365pm0.040,14.735pm0.351,
Ethanol,7.722pm0.262,0.283pm0.029,18.671pm0.508,
