	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.36391211160753	141.83864	0.020546132222705182	0
1	Alanine	l	53.58984839184484	154.63322	0.014143850008537129	0
2	Alanine	l	53.35884426279134	112.25572	0.028864029461118434	0
3	Acetate	l	26.127358809540766	269.7501	0.015911162975385196	0
4	Acetate	l	25.96057252974697	116.43712	0.018488815275361503	0
5	Acetate	l	25.778883229181815	267.92096	0.019070588081490314	0
6	Alanine	l	19.120276246158852	239.1278	0.01615329938204013	0
7	Alanine	l	18.88771471466154	263.66812	0.020288263458155598	0
