Met,L,k,x0,C
Mannitol,1614.887pm68.837,-0.216pm0.019,13.540pm0.380,-7.766pm28.272
Acetate,42.279pm0.829,0.765pm0.101,11.078pm0.201,
Alanine,123.558pm2.195,0.591pm0.059,16.490pm0.199,
Ethanol,54.795pm0.889,1.124pm0.132,24.471pm0.118,
