Met,L,k,x0,C
Mannitol,27.914pm1.190,-0.216pm0.019,13.540pm0.380,-0.134pm0.489
Acetate,10.363pm0.203,0.765pm0.101,11.078pm0.201,
Alanine,6.807pm0.121,0.591pm0.059,16.490pm0.199,
Ethanol,4.673pm0.076,1.124pm0.132,24.471pm0.118,
