	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	73.94654577775961	394.20395	0.02126322076270526	0
1	Mannitol	l	73.8620133982752	359.6446	0.023074971219614326	0
2	Mannitol	l	73.73811679571028	374.61264	0.02138349501089465	0
3	Mannitol	l	73.66172726516598	635.1753	0.03086464470595729	0
4	Mannitol	l	73.58924085179385	300.1695	0.01977358110312366	0
5	Mannitol	l	73.4648971008701	454.9413	0.024085909942499484	0
6	Mannitol	l	73.3813654450457	601.50757	0.019400954981421137	0
7	Mannitol	l	72.38821009655581	193.4451	0.02425993659443293	0
8	Mannitol	l	72.19445981563601	917.1804	0.027074056071626273	0
9	Mannitol	l	72.11035416382407	647.35614	0.024856500884510524	0
10	Mannitol	l	71.98567140950516	567.0744	0.02649606502436086	0
11	Mannitol	l	71.90213840405465	612.7272	0.025969220165336537	0
12	Mannitol	l	66.05581400553396	1706.9954	0.024941229030304157	0
13	Mannitol	l	65.91814364082424	96.586655	0.009382260440361279	0
14	Mannitol	l	65.78352172679581	1554.3083	0.025190960703667997	0
15	Alanine	l	53.621926573270116	149.2229	0.03113359514077274	0
16	Alanine	l	53.45329064915157	339.82333	0.027262884202798432	0
17	AlanineIgnore	l	53.39668794376422	225.7527	0.03656665002623072	0
18	AlanineN15	l	53.3459494029637	82.8649	0.038591781038462614	0
19	Alanine	l	53.2670926454515	191.28145	0.024112221230353725	0
20	Alanine	l	53.22232060840784	405.9661	0.024964014223002096	0
21	AlanineN15	l	53.175672815924344	124.051414	0.03497187699372262	0
22	Alanine	l	53.03118895314384	168.91376	0.03175290533141606	0
