	cpd	cv	ppm	amp	fwhm	fwhm2
0	Alanine	l	53.622591931780505	251.98083	0.024090109744690835	0
1	AlanineN15	l	53.578559555885306	91.64128	0.03719862368598115	0
2	AlanineIgnore	l	53.4907444972786	60.981342	0.007162917855112028	0
3	Alanine	l	53.45419183844166	342.55533	0.024046594482285855	0
4	AlanineIgnore	l	53.39723624566102	291.65463	0.03510263025054883	0
5	AlanineN15	l	53.345517225528425	82.78936	0.04350075367548811	0
6	Alanine	l	53.26420583546616	237.96918	0.024904789140435923	0
7	Alanine	l	53.222173472446656	416.24597	0.025836283930118498	0
8	AlanineN15	l	53.17962268577122	169.88571	0.047198624718504334	0
9	Alanine	l	53.03505576328888	213.93964	0.030763728110571265	0
10	AlanineN15	l	52.98865361375189	106.01489	0.03282821874879005	0
