	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.27238429876496	184.34393	0.0	0
1	CO2	l	127.2307962562072	1805.1744	0.018318791536671597	0
2	Lactate	l	71.30683435909165	167.63171	0.03845563964304688	0
3	Lactate	l	71.06694072074862	215.66599	0.028399493703233247	0
4	Ethanol	l	60.280890833136965	1560.8265	0.01934009908333678	0
5	Ethanol	l	60.23428228070219	365.71683	0.011714458672429373	0
6	Ethanol	l	60.03376754657717	1565.9323	0.019369964671852813	0
7	Ethanol	l	59.98754008664818	363.10123	0.012015731684414277	0
8	Alanine	l	53.650757475100505	181.48026	0.0	0
9	Alanine	l	53.47913720954662	156.33101	0.014077549447449655	0
10	Alanine	l	53.425186893051176	166.78168	0.12181290726465477	0
11	Alanine	l	53.29032274333713	158.10284	0.016889942969271488	0
12	Alanine	l	53.244080477051625	252.66547	0.04718133118959145	0
13	Alanine	l	53.055146542007634	159.89467	0.053258037079586984	0
14	Acetate	l	26.0220827896442	336.16327	0.022164934504615985	0
15	Acetate	l	25.675474296669677	343.18234	0.024531723349241474	0
16	Lactate	l	22.893293208867505	699.40625	0.021942260722653373	0
17	Lactate	l	22.648487837424966	666.1587	0.024223530025381024	0
18	Ethanol	l	19.630268006764027	1908.7244	0.019032443964277945	0
19	Ethanol	l	19.383298980959864	1886.3336	0.02029981840675532	0
20	Alanine	l	18.986532959620064	1348.628	0.02031941716467145	0
21	Alanine	l	18.75546906767903	1243.2892	0.021704864796760148	0
