	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.23660199419243	634.47986	0.02307891897726222	0
1	Ethanol	l	60.2681367032784	795.94995	0.01816743136194532	0
2	Ethanol	l	60.221042514222376	229.24503	0.02809115653795402	0
3	Ethanol	l	60.02142872175446	835.59937	0.01889287027287878	0
4	Ethanol	l	59.97368175406834	257.59845	0.027315891880192567	0
5	Acetate	l	25.706304820744293	166.30359	0.0	0
6	Ethanol	l	19.613691585494422	964.2589	0.018992726604693644	0
7	Ethanol	l	19.366332546599693	947.7213	0.023287549229706883	0
8	Alanine	l	18.97022499346656	560.3991	0.025464917208239513	0
9	Alanine	l	18.7382799668174	467.59476	0.028800118149064247	0
