	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.36813337244362	107.8423	0.018581149883033277	0
1	Alanine	l	53.5944876014276	129.84404	0.03301284153369011	0
2	Alanine	l	53.36257914706019	127.76104	0.02478585241809128	0
3	Acetate	l	26.150073563911434	262.7093	0.016118716044019266	0
4	Acetate	l	25.984517557867264	113.95831	0.014481226773511935	0
5	Acetate	l	25.801576407972476	242.12773	0.023444859115357986	0
6	Alanine	l	19.1257919380499	241.01634	0.016182213159481762	0
7	Alanine	l	19.01947169904409	90.73665	0.019844027799479136	0
8	Alanine	l	18.893617435542353	246.45555	0.018607072592601526	0
