	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.23714657543069	293.8227	0.04376982160417242	0
1	CO2	l	127.20096816700547	1073.8445	0.013093523582085709	0
2	CO2	l	127.19164090107978	1034.7194	0.009360525998459934	0
3	Ethanol	l	60.28252696128976	140.83812	0.008863556737026101	0
4	Ethanol	l	60.244037571849816	1298.5514	0.0197520379173568	0
5	Ethanol	l	60.197785668462785	306.6137	0.01106494475720865	0
6	Ethanol	l	60.038818853855986	141.20354	0.012933219945068686	0
7	Ethanol	l	59.997224880534844	1289.9608	0.020472905511923045	0
8	Ethanol	l	59.95062213223011	302.26553	0.012855356032360987	0
9	Alanine	l	53.386116185482734	179.45966	0.0	0
10	Alanine	l	53.303243218423404	112.58994	0.40142649132988595	0
11	Acetate	l	25.98166856227067	354.0413	0.024773863761993198	0
12	Acetate	l	25.6356368860923	345.01706	0.029155195191663097	0
13	Lactate	l	22.857839756657427	423.59616	0.023302989885849	0
14	Lactate	l	22.613244590717784	426.6076	0.027471385477781496	0
15	Ethanol	l	19.590559051415653	1599.5587	0.018947327472943698	0
16	Ethanol	l	19.343366864163443	1551.1978	0.021352189331082627	0
17	Alanine	l	18.94680121947073	879.70844	0.023268820502636345	0
18	Alanine	l	18.71522550087218	800.33044	0.02637626545183025	0
