,parameter,values,met_id,met_name
0,L,27.34944436896429,mnl1p,Mannitol
1,k,-0.30618163509999885,mnl1p,Mannitol
2,x0,20.656704523292255,mnl1p,Mannitol
3,C,0.43055563103571376,mnl1p,Mannitol
0,L,3.3055485127182878,alaL,Alanine
1,k,0.4247752889637335,alaL,Alanine
2,x0,21.688527972354176,alaL,Alanine
0,L,1.4326279467107275,alaL_N15,AlanineN15
1,k,0.26260991002703465,alaL_N15,AlanineN15
2,x0,25.79842539668212,alaL_N15,AlanineN15
