	cpd	cv	ppm	amp	fwhm	fwhm2
0	Alanine	l	53.51221479589756	226.40977	0.024576174457052957	0
1	AlanineN15	l	53.46099711044377	79.564415	0.028073409519436154	0
2	Alanine	l	53.34091566321683	244.15288	0.02698830471496194	0
3	AlanineIgnore	l	53.282546247203726	299.23193	0.027474273425099227	0
4	AlanineN15	l	53.237815764504006	102.308075	0.020285703193081872	0
5	Alanine	l	53.15654278924802	231.51453	0.02221696905337467	0
6	Alanine	l	53.10861177634118	379.124	0.024527419413004736	0
7	AlanineN15	l	53.0562262584055	105.79053	0.03131767835762389	0
8	Alanine	l	52.92274166464074	254.29507	0.02185973237470762	0
9	AlanineN15	l	52.880769857523205	134.01413	0.020255962670091776	0
