Frequency [ppm],Intensity [abs],Width [Hz],Lineshape Parameter,Lineshape,Area [abs*Hz]
-3.673386143227553,37260.8101770051,0.764895844772397,0.9974875006296793,PVOIGT,60748.494528347626
-3.663152677660686,22031.63659848895,0.5526812628846779,0.9974875006296793,PVOIGT,25953.88793653387
-3.6531643350070113,49352.353554493886,0.6601549314280643,0.9974875006296793,PVOIGT,69443.98980791355
-3.6367875218444183,46747.52142725586,1.4040716299961968,0.9974875006296793,PVOIGT,139903.56394129866
-3.6207292843186227,61869.09293268521,3.452984144421629,0.9974875006296793,PVOIGT,455354.1062973994
0.05568823096788838,11242.187059147505,0.4938807772793765,0.9974875006296793,PVOIGT,11834.607380915904
0.07875054748753306,13351.347029521072,3.11494833570249,0.9974875006296793,PVOIGT,88645.5331715386
0.15331136236964693,10914.617275340792,2.580686580663418,2.456361598749578E-8,PVOIGT,88489.88779526213
0.1644768770200101,26104.166700323563,0.4452876084325536,0.18838397111887673,PVOIGT,34299.97087201391
0.17701823703807715,64473.82355955927,0.7077413993567918,0.5212862362522084,PVOIGT,119265.55589602054
0.1903412302456833,82280.4397497857,0.9468407272942773,0.8779007018722136,PVOIGT,175490.47718535125
0.2043975010290124,59806.7720016313,0.8739255121821577,0.9498900293846214,PVOIGT,113924.51470252307
0.21791258048130452,37539.44278972521,0.5676499322691587,0.9974875006296793,PVOIGT,45420.2307928538
0.23021260025043044,17337.804046741854,0.379415993654003,0.9974875006296793,PVOIGT,14021.376415109258
0.31049556854433275,12034.050767034125,1.2598122375455267,0.9974875006296793,PVOIGT,32314.58525464214
0.32318231574731404,11253.806052296843,0.30040286053312765,0.9974875006296793,PVOIGT,7205.836676875128
0.5026880203264756,12905.379206110174,0.23859716528550146,0.9974875006296793,PVOIGT,6563.220181816427
0.5051169377091927,24536.7753585824,0.5302794973885376,0.9974875006296793,PVOIGT,27733.408403477744
0.5174945865624787,32870.733741080025,0.9191942287278483,0.9974875006296793,PVOIGT,64401.741560654256
0.5304156205269567,19242.62783659168,0.5406847689936034,0.9974875006296793,PVOIGT,22176.31799553296
0.5515981451769688,45774.46404066465,2.7870413612957208,0.9974875006296793,PVOIGT,271924.0414267018
0.599786970296546,28147.31823459747,3.803551309392964,0.5282306137183503,PVOIGT,279070.0635204657
0.6622202078869046,70089.38134195496,2.8078481684563976,2.456361598749578E-8,PVOIGT,618266.500706137
0.6744609378649037,82169.1906560105,0.696143748654307,0.6671842700025239,PVOIGT,141056.93721743362
0.6814846076541303,58352.8126411135,0.34279521752817016,0.9974875006296793,PVOIGT,42636.10005989115
0.6864501782200269,101201.30715211743,0.5025139772707155,0.4235787943917721,PVOIGT,137952.10790930098
0.6946165805855914,231030.43768962074,0.6752112797820211,0.432442550583414,PVOIGT,421758.19729224156
0.7071018322084192,365566.4234105354,0.7946932434145764,2.456361598749578E-8,PVOIGT,912674.023060702
0.7240715177466921,245843.0661848257,0.6268811739815711,0.9974875006296793,PVOIGT,328491.4845119147
