	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	73.91675852404438	1442.7993	0.02805799582873192	0
1	Mannitol	l	73.83221045510021	1401.8536	0.030175525939938552	0
2	Mannitol	l	73.70746140388906	1554.1707	0.025768252409648085	0
3	Mannitol	l	73.63139887801125	2715.3489	0.03724730843285329	0
4	Mannitol	l	73.5588450756382	1195.7205	0.021813791792283155	0
5	Mannitol	l	73.43489105504148	1758.1354	0.0309637460660781	0
6	Mannitol	l	73.35019830604267	2315.457	0.02226965947318149	0
7	Mannitol	l	72.1642531617158	3654.9556	0.034364291098285094	0
8	Mannitol	l	72.08047627805752	2624.1848	0.02916134106837376	0
9	Mannitol	l	71.95537912856236	2287.6753	0.031719371481187864	0
10	Mannitol	l	71.8721281003757	2439.6572	0.028937214470914796	0
11	Mannitol	l	66.03074979313024	6694.4414	0.030956323641788686	0
12	Mannitol	l	65.75844108783093	6182.151	0.03172840992462511	0
