	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.23719263960382	574.1999	0.023160410795441067	0
1	Mannitol	l	72.06336591923107	83.37029	0.4317973752286264	0
2	Mannitol	l	66.06771856027419	411.03363	0.028805498850942968	0
3	Mannitol	l	65.79435994306601	388.6539	0.031073490410079785	0
4	Ethanol	l	60.26916676400768	684.42554	0.018030733745717953	0
5	Ethanol	l	60.22072298634231	188.06693	0.022619016812910786	0
6	Ethanol	l	60.02182873840147	695.5518	0.01899762283636619	0
7	Ethanol	l	59.97436564600346	205.2135	0.02448408273755831	0
8	Acetate	l	26.052941915848038	198.08644	0.022221875876851982	0
9	Acetate	l	25.707058619230708	200.19624	0.02400100620437229	0
10	Ethanol	l	19.614463288798845	826.1477	0.018899706749323286	0
11	Ethanol	l	19.367271639846763	772.4154	0.022815672616530946	0
12	Alanine	l	18.97156634658691	486.2267	0.02549113134918457	0
13	Alanine	l	18.74019084305806	410.54517	0.029025749482798346	0
