Met,L,k,x0,C
Mannitol,2256.513pm152.513,-0.145pm0.016,15.501pm0.553,-53.898pm73.665
Acetate,26.187pm0.259,6.213pm3.818,9.097pm0.099,
Alanine,143.947pm4.359,0.324pm0.036,16.185pm0.439,
Ethanol,221.682pm7.375,0.240pm0.017,21.654pm0.477,
