Met,L,k,x0,C
Mannitol,28.460pm1.924,-0.145pm0.016,15.501pm0.553,-0.680pm0.929
Acetate,4.684pm0.046,6.213pm3.818,9.097pm0.099,
Alanine,5.786pm0.175,0.324pm0.036,16.185pm0.439,
Ethanol,13.795pm0.459,0.240pm0.017,21.654pm0.477,
