	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	71.44887166939375	98.783134	0.0	0
1	Mannitol	l	71.27588244482388	148.46678	0.02136982343219529	0
2	Mannitol	l	71.20397972974749	92.04205	0.0	0
3	Mannitol	l	71.0351061080244	158.8083	0.027142494001139994	0
4	Alanine	l	53.6238054120268	251.90622	0.024988059405302465	0
5	AlanineN15	l	53.57855955564412	87.16167	0.029331535932328734	0
6	Alanine	l	53.45452403014724	317.07672	0.02449064722097205	0
7	AlanineIgnore	l	53.39634767470264	307.38318	0.039800968987350416	0
8	AlanineN15	l	53.3512976003137	124.11298	0.02284747827414435	0
9	Alanine	l	53.26675317161005	245.81017	0.027011724136059456	0
10	Alanine	l	53.22366670677269	446.74326	0.024707639697084005	0
11	AlanineN15	l	53.17567281962562	166.67995	0.0449498200614471	0
12	Alanine	l	53.03452124500217	235.82138	0.030724505521192214	0
13	AlanineN15	l	52.9923698423822	81.89485	0.029789012008848204	0
