Met,L,k,x0,C
Mannitol,1661.709pm37.343,-0.306pm0.019,20.657pm0.240,26.160pm29.410
Alanine,63.014pm1.753,0.425pm0.046,21.689pm0.329,
AlanineN15,27.310pm4.569,0.263pm0.078,25.798pm1.941,
