Met,L,k,x0,C
Mannitol,27.349pm0.615,-0.306pm0.019,20.657pm0.240,0.431pm0.484
Alanine,3.306pm0.092,0.425pm0.046,21.689pm0.329,
AlanineN15,1.433pm0.240,0.263pm0.078,25.798pm1.941,
