	cpd	cv	ppm	amp	fwhm	fwhm2
0	Alanine	l	53.58441945922638	154.13927	0.02429849884038049	0
1	Alanine	l	53.35054661949988	153.6746	0.031154782895356448	0
2	Acetate	l	26.141937876362817	266.48914	0.016257601182218195	0
3	Acetate	l	25.98119661532698	143.18181	0.01916032218329633	0
4	Acetate	l	25.794816832943013	257.52823	0.017426504310236623	0
5	Alanine	l	19.11782165463913	280.57474	0.018503637856696287	0
6	Alanine	l	19.014001211294612	147.3113	0.015682491485563332	0
7	Alanine	l	18.885420011420365	238.48007	0.019915261633371983	0
