Run,Alanine from other sources,Alanine from 15N amino acid,Amino acid
cdiff_mannitol_13C_umass_121324,1.45792680466284,0.542959964432901,Leucine
cdiff_mannitol_n15_umass_011025,3.1241383922938,1.4131622703386,Threonine
cdiff_mannitol_n15_umass_011725,3.30554851271829,1.43262794671073,Threonine
cdiff_mannitol_n15_umass_012425,2.3814635610386,1.21907596560052,Threonine
