	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.28602087773643	140.91397	0.051558580970919365	0
1	CO2	l	127.25038242981434	203.07661	0.0248455435267374	0
2	CO2	l	127.21622100336788	1122.1725	0.019049780753533696	0
3	Ethanol	l	60.26386727433882	268.76163	0.02025800354721241	0
4	Ethanol	l	60.01700229314292	296.41806	0.021081316887944013	0
5	Alanine	l	53.46080997873676	188.40524	0.036196738473847745	0
6	Alanine	l	53.40595582962658	173.3076	0.034144703636656004	0
7	Alanine	l	53.27834128887852	38.75116	0.005305418190062028	0
8	Alanine	l	53.230728855593355	205.79623	0.17506366011977548	0
9	Acetate	l	25.979700504487766	503.7724	0.02625799582227728	0
10	Acetate	l	25.63195663273973	494.25815	0.03162260535140149	0
11	Lactate	l	22.881406589369647	227.26651	0.019787756962955427	0
12	Lactate	l	22.636462485059724	199.41957	0.02639132873812855	0
13	Ethanol	l	18.967680746004362	1161.4376	0.020095485431028237	0
14	Alanine	l	18.73569782787905	1128.9246	0.025351440012229887	0
