	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	73.53697348042303	33.40589	0.29999999999961346	0
1	Mannitol	l	72.18763944013918	58.862812	0.013522674838100102	0
2	Mannitol	l	72.09003915796197	28.606993	0.29993978210598016	0
3	Mannitol	l	66.0720955450775	128.96375	0.026252680745926682	0
4	Mannitol	l	65.79855520581643	113.20512	0.030805310663424734	0
5	Alanine	l	53.62032981959305	109.11182	0.0171143281832542	0
6	AlanineN15	l	53.572782536550534	65.38278	0.03127717785326922	0
7	Alanine	l	53.45334494231449	146.51125	0.02794376890395256	0
8	AlanineIgnore	l	53.39136794893986	125.34405	0.02645420880278948	0
9	AlanineN15	l	53.32588717429303	76.67541	0.021005314548773413	0
10	Alanine	l	53.26432727532929	71.98769	0.024099402225203903	0
11	Alanine	l	53.220614436858654	165.57538	0.029609290476486194	0
12	AlanineN15	l	53.16270938073998	81.99734	0.0353732338956263	0
13	Alanine	l	53.03081482856527	101.90035	0.027983776988008913	0
