	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.38342255056752	123.79703	0.01478489508332359	0
1	Alanine	l	53.607932779405445	149.5723	0.02185787274081008	0
2	Alanine	l	53.504612285311595	73.20639	0.0	0
3	Alanine	l	53.37587079784848	132.904	0.03418964646206746	0
4	Acetate	l	26.169493535320072	273.6409	0.018646594822683937	0
5	Acetate	l	26.00409595229766	134.43036	0.017230040812648895	0
6	Acetate	l	25.822257598509225	264.27155	0.022290160156018146	0
7	Acetate	l	25.270245795452638	94.119484	0.018234395476696363	0
8	Alanine	l	19.14416499831634	239.69177	0.016329125002414457	0
9	Alanine	l	19.038407737835712	139.0088	0.02147311282726605	0
10	Alanine	l	18.913100930014735	234.19536	0.02123288769681153	0
