	phosphopyruvate hydratase	pyruvate:ferredoxin oxidoreductase	pyruvate formate-lyase	acetate kinase	CO-methylating acetyl-CoA synthase	RNF Complex (PMF-generating)	L-alanine:2-oxoglutarate aminotransferase	4-methyl-2-oxopentanoate dehydrogenase (ferredoxin)	2-isocaprenoyl-CoA dehydrogenase (electron-bifurcating)	D-proline reductase	ethanol dehydrogenase	Butyrate kinase	L-lactate dehydrogenase	ATP hydrolysis objective
0	0.8070313893615904	0.6827241129013532	0.0	1.1288287183050902	0.4612015949092789	0.03366082872529539	0.0	0.12772063622551083	0.0	0.01949333144642981	0.002264156252284029	0.0037986700595769173	0.002992283434963651	0.0
1	0.864572620922136	0.7189591565680666	0.0	1.1878154963535665	0.4893709823192562	0.03973064847710625	0.001642504558038218	0.15279505578209374	0.0	0.029388530534702834	0.0029451488613688533	0.004730853542613052	0.003501302841766095	0.0
2	0.9228703357853737	0.750361840329407	0.0	1.2727880483083724	0.5490935465045832	0.04870662640536062	0.02444275527150968	0.25452013744236013	0.0	0.043579203231990965	0.003830024636530029	0.005889636333150194	0.004095523067292572	0.0
3	1.0057154305620633	0.7967195366629554	0.0	1.441302741770886	0.6797111378983716	0.060414448448874725	0.054796160887180305	0.4955661493418175	0.0	0.0635061414808789	0.004979174390339175	0.007328913086067108	0.004788691296549274	0.0
4	1.1183162086048468	0.8621883513282312	0.0	1.573013825939358	0.756423964702874	0.07637356011252441	0.09446733983226155	0.6018469384617805	0.0	0.09092090161034194	0.006470427792964904	0.009114743024282652	0.005596582665966438	0.0
5	1.2360259258807171	0.9224255414892348	0.0	1.6269269801611532	0.7614020751686937	0.09884393207807918	0.1451603217928861	0.5645132134376956	0.0	0.12748702411502688	0.008403778653447344	0.01132773453044227	0.006537228294537146	0.0
6	1.3563636888455615	0.9723038909575368	0.0	1.6770772399469387	0.774409914603197	0.1283335648487319	0.20914664413576542	0.5629057840928421	0.0	0.17390076888607167	0.010907174126602338	0.014065693185352786	0.007631140974585562	0.0
7	1.494808525397826	1.0286180456574543	0.0	1.6041723734307132	0.6741418178432707	0.16610093544550328	0.27144675559627807	0.3309310402409434	0.0	0.22893197190018136	0.014143451022278127	0.017446435286127337	0.00890152477218404	0.0
8	1.6205893535659954	1.0657874556791351	0.0	1.5473628529958976	0.5915469491359774	0.2235829304107558	0.3623958631867076	0.16061757311038077	0.0	0.3093640349429828	0.018318378200993517	0.021610570019617182	0.01037444868670524	0.0
9	1.7312259632272462	1.1314073027192304	0.0	1.5893557007171824	0.5860773127599769	0.29322557242254293	0.4040177815117706	0.13628970134862983	0.0	0.4154897299017656	0.023689516888406436	0.02672390233458734	0.012078956653022624	0.0
10	1.8310031653656025	1.1892895434717774	0.0	1.618535928517728	0.5794583897494477	0.3565753081564408	0.4425122711290194	0.11087372862080358	0.0	0.5001780519927176	0.030575164239687605	0.03297888774398624	0.014047076309321364	0.0
11	1.9155986982305306	1.2362959263420832	0.0	1.6380975194161151	0.5791177138076212	0.39684186180770825	0.4763099927799316	0.0871513774369447	0.0	0.5285714364366046	0.039361893815126656	0.04059426359173008	0.016313677008417467	0.0
12	1.9819040288066314	1.271526329686656	0.0	1.641471629184217	0.5802021752063301	0.42536891159996354	0.5034637117321623	0.06667616722718166	0.0	0.5208425432452997	0.05050802085448069	0.04981158179138407	0.01891611370962256	0.0
13	2.0267503327852157	1.2930437494949725	0.0	1.6290355008025759	0.5862304824821589	0.4330521631095354	0.5225456573550131	0.04996476680346228	0.0	0.4567365076364727	0.06453858179397948	0.060886893680122164	0.02189357832837366	0.0
14	2.047167655976935	1.3154988625478379	0.0	1.6170805598528764	0.6003866089666556	0.43011718071919963	0.5152824007086508	0.03686393767829002	0.0	0.3552284036833365	0.08202510930434845	0.0740753579534209	0.025286065263940602	0.0
15	2.0437269210942905	1.328796287377528	0.0	1.580029844166976	0.6075859811055828	0.43746338124714707	0.4934586740134222	0.02688749831688018	0.0	0.2540438552650684	0.10354088426728503	0.08960621750348538	0.029132845860269506	0.0
16	2.0177409788497993	1.328758250097477	0.0	1.5002330890785271	0.5947344205452395	0.47837007437379164	0.46340234061432306	0.01944720869001992	0.0	0.19647981540088147	0.12958036469711	0.1076457154768865	0.03347034130551486	0.0
17	2.0206892502150104	1.3599133720390615	0.0	1.4525784014789571	0.594679241906551	0.5325907176531925	0.4288503857824239	0.013980689367357075	0.0	0.14574715272756375	0.16043212232832807	0.12824655330872786	0.03832570831735497	0.0
18	2.0396080183203384	1.4125941264996271	0.0	1.4681057204645993	0.6121044469799514	0.5659669987242627	0.3913776376818594	0.010007010813077952	0.0	0.10452122595218953	0.1849097278509232	0.13904313850179892	0.039171277118744685	0.0
19	2.0330886376908226	1.4698402684109668	0.0	1.517177387191956	0.6385566418170727	0.5813946152309788	0.3234117950061208	0.007140406903044611	0.0	0.07285786724179337	0.19856800424703552	0.14716582077499382	0.0399825288098528	0.0
20	2.002649737469456	1.5194192169857357	0.0	1.558926224040222	0.6608849682938904	0.5961415620538763	0.23972604378514215	0.005083618204451218	0.0	0.049493893746892656	0.21120421283904042	0.1547627854169984	0.04075546644850383	0.0
21	1.9516788487874175	1.5361369929180038	0.0	1.5535119463692166	0.664730714108736	0.6128252061032251	0.17044316549717198	0.0036135424902478982	0.0	0.03279348982684597	0.2223698287980954	0.16165313078349428	0.04148615794636507	0.0
