time	ID_396	ID_369	ID_336
0	0.00012773098969924245	0	0.03846741107486153
1	0.00015116370034681353	0	0.04967503946247232
2	0.00017893181775377806	0	0.06380895461175486
3	0.0002115773870842523	0	0.08137885103083331
4	0.00024962052455451645	0	0.10281202220944588
5	0.02307154793989738	0	0.10550541663704081
6	0.06256723423405706	0	0.0953922088853832
7	0.06860809686198677	0	0.121745858863694
8	0.012721984264109715	0	0.2024767678413184
9	0	0	0.24678739156038887
10	0	0	0.27407521201234886
11	0	0	0.2937330269024585
12	0	0	0.30302148173149135
13	0	0	0.30054745059970855
14	0	0	0.286688175423194
15	0	0	0.2634739506751771
16	0	0	0.23398869063782968
17	0	0	0.2015732564340169
18	0	0	0.1732147004731246
19	0	0	0.14943925550626827
20	0	0	0.12483610881492062
21	0	0	0.10174423446605037
22	0	0	0.08137573229743943
23	0	0	0.06415217796494599
24	0	0	0.050016459737637575
25	0	0	0.03866371924676444
26	0	0	0.029690956569105455
27	0	0	0.022683871806452163
28	0	0	0.01726139528476004
29	0	0	0.013094260245657111
30	0	0	0.009908952712002008
31	6.11194081384441e-05	0	0.007423105104907771
32	4.528050415328796e-05	0	0.005599137482266932
33	3.339922261349349e-05	0	0.004218548021200939
34	2.454292219612368e-05	0	0.0031755793176265167
35	1.7976351706841634e-05	0	0.002388857363243091
36	0.004392709123100717	0	0
37	0.012508926146028148	0	0
38	0.014997383101458489	0	0
39	0.01590578597317119	0	0
40	0.014907315274461489	0	0
41	0.011889720426730076	0	0
42	0.00789221404343331	0	0
43	0.004236986027529056	0	0
44	0.001065888701894174	0	0
45	0	0.00020821384067400904	0
46	0	0.00015413040489495702	0
47	0	0.00011412192873647548	0
48	0	8.452305248806427e-05	0
