time	ALT_2abut	ID_28	ID_561	ID_217
time	Alanine transaminase (2-aminobutyrate)	L-Leucine:2-oxoglutarate aminotransferase	L-glutamate:NAD+ oxidoreductase (transaminating)	leucine transaminase
0	0.050851126489089196	0.12780532390810342	0	0.029371023771903843
1	0.05652398379383086	0.1530478077029111	0	0.01286010150318483
2	0.05665303634675146	0.2552743906564404	0	0
3	0.042921318736823144	0.4978161682399581	0	0
4	0	0.6085519065261421	0	0
5	0	0.5844310340339046	0	0
6	0	0.6215245923988074	0	0
7	0	0.5392317067766546	0	0
8	0	0.6293188107591506	0	0
9	0	0.9054402495875737	0	0
10	0	0.9954144709951817	0	0
11	0.08335442321197223	0.8018509832044061	0	0
12	0.1603647039108761	0.42009722193599225	0	0
13	0.1979314474487983	0.3174377240389308	0	0
14	0.20840769378991875	0.25347890281338176	0.010260425177045923	0
15	0.20319309936180618	0.14143814111510786	0.1995164126801716	0
16	0.1889379067938782	0.07812821590923384	0.2948311858949783	0
17	0.16980846332933378	0.04355374425867472	0.33120223730172316	0
18	0.14861540188009445	0.02478817768805916	0.33245653413855597	0
19	0.12750702878067174	0.014497851501397084	0.2549250787249771	0
20	0.1095864361946756	0.008738318053126769	0.13115773768387104	0
21	0.09288920980851408	0.005427104667152448	0.03148847825465893	0
22	0.07783068765728468	0.0034651662323523665	0	0
23	0.06458966950653701	0.0018226504071413453	0	0
24	0.053177587941691494	0.0012914363795249622	0	0
25	0.043497535663368406	0.0009150153830679671	0	0.0031258520168393924
26	0.035390779996169276	0.000648239737313258	0	0.02207877096927858
27	0.02867065623364189	0.0004591883549768973	0	0.036259241493013454
28	0.023145400324783252	0.00032523760025802284	0	0.04682153865724975
29	0.018632228380563776	0.00023034273530187508	0	0.054662863739210275
30	0.014965023829669473	0.00016312511336998036	0	0.06046998921889437
31	0.011997672527805921	0.0001155172361297685	0	0.06476290487274457
32	0.009604635042281637	8.180087010777195e-05	0	0.06793224282199274
33	0.007679904612085833	5.792397486665494e-05	0	0.0702697955647164
34	0.006135131438680904	4.1015793494326065e-05	0	0.07199262656624096
35	0.004897414414276823	2.9042794523786973e-05	0	0.07326172295587934
36	0.003907062478152584	2.056467200969966e-05	0	0.07419621969081022
