time	ID_575	ID_439	ALT_2abut	ID_526	ID_336
time	L-glutamate:NAD+ oxidoreductase (deaminating)	aspartate:2-oxoglutarate aminotransferase	Alanine transaminase (2-aminobutyrate)	glutamate-ammonia ligase	L-alanine:2-oxoglutarate aminotransferase
0	-0.20802747416909775	0	0	0	0
1	-0.22243189299992716	0	0	0	0
2	-0.3027846316243146	0	0	0	-0.009142795378880422
3	-0.5024805911634697	0	0	0	-0.038256895813309336
4	-0.5315437853248494	0	-0.0005954352801722795	0	-0.07641268592111997
5	-0.3610056554661088	0	-0.0976496889747119	0	-0.12577568959308316
6	-0.21706734705710312	0	-0.21592049687226603	0	-0.18853674846943844
7	0	0	-0.2727394466587496	0	-0.26649226011790633
8	0	0	-0.2694053906538272	0	-0.35991342010532223
9	-0.31633977643340727	0	-0.18866170359103696	0	-0.40043876956313146
10	-0.4943118494975106	0	-0.06309856954486848	0	-0.4380040519528028
11	-0.4143928315262329	0	0	0	-0.4708125748901466
12	-0.0833511563341645	0	0	0	-0.49711076951269134
13	0	0	0	0	-0.5153691714877305
14	0	0	0	-0.005130212588521429	-0.4670168091918248
15	0	0	0	-0.0997582063400858	-0.4443894468169996
16	0	0	0	-0.14741559294748954	-0.4144817156506004
17	0	0	0	-0.16560111865086138	-0.3789633262388703
18	0	0	0	-0.16622826706927682	-0.3396318466374321
19	0	0	0	-0.12746253936248833	-0.2694674196445577
20	0	0	0	-0.06557886884193712	-0.18390362308973862
21	0	0	0	-0.01574423912732845	-0.11406055360299591
22	0	0	0	0	-0.08129585388963688
23	-0.011184595338939193	0	0	0	-0.0552277245747403
24	-0.025221816790129612	-0.007194761677858572	0	0	-0.022052445853233224
25	-0.028918061384360167	-0.018620341678914652	0	0	0
26	-0.029736412696384273	-0.02838137800638927	0	0	0
27	-0.028860876728199043	-0.03652820935343061	0	0	0
28	-0.027511148105049503	-0.04278102847722138	0	0	0
29	-0.02753651914439442	-0.04598891571068199	0	0	0
30	-0.027594607012368422	-0.04800353114956387	0	0	0
31	-0.027874280098383917	-0.04900181453829195	0	0	0
32	-0.028469064515912523	-0.0491496142184696	0	0	0
33	-0.029408775227977444	-0.04859884892369107	0	0	0
34	-0.030682392320327614	-0.047486381478089264	0	0	0
35	-0.03225433350269204	-0.04593384666198821	0	0	0
36	-0.034075837658422134	-0.04404800918256042	0	0	0
