Time,Mannitol,Acetate,Alanine,Ethanol
0.6555555555555556,25.6356782115753,0.0,0.0,0.0
1.737222222222222,25.458168886025685,0.0,0.0,0.0
2.818333333333333,25.656345276537312,0.0,0.0,0.0
3.899444444444444,25.770077536665823,0.0,0.0,0.0
4.980555555555555,25.466677287114997,0.0,0.0,0.0
6.061944444444444,25.05227761377804,0.0,0.0,0.0
7.143333333333334,24.08171375884328,0.0,0.0,0.0
8.224444444444444,23.969492778020978,0.0,0.0,0.0
9.305833333333334,23.21513444411833,0.0,0.0,0.0
10.38694444444444,22.34158539255411,0.0,0.0,0.0
11.46861111111111,21.25176933511042,0.0,0.0,0.0
12.54972222222222,19.951562503937637,2.745316513638137,0.0,0.0
13.63083333333333,18.667489644719453,2.697737884249626,0.6226657579064934,0.0
14.71194444444444,17.549442328402098,5.6496510982231465,0.673181906607479,0.0
15.79333333333333,16.324289345956227,5.96905415089691,1.3745220998051884,0.0
16.87444444444445,15.300954167245035,5.443182398922583,,0.0
17.95555555555556,14.343154535012035,6.825160936420002,1.860608346254046,3.8232233469356176
19.03722222222222,13.403724303832945,6.013545431646679,1.9491785178844625,4.575801685661881
20.11833333333333,12.564243943418424,6.521734344474385,2.012853236006831,4.955519004570468
21.19944444444445,11.55850104436721,7.148292229873315,2.3383879336331224,5.666853862200905
22.28055555555556,10.838136112129375,6.368944780759488,2.3016465849437937,6.1434063633651315
23.36166666666667,10.107951007790387,6.227837663173674,2.3648021235212546,6.7014414687095405
24.44277777777778,9.475232247565177,6.245940305615002,2.3527246684674976,7.556490831104471
25.52388888888889,8.927335078398489,6.496608434722046,2.6132969188278943,7.796697745069325
26.605,8.273608288497853,6.195404265647708,2.748969842308526,8.496624697891537
27.68638888888889,7.617245631403849,6.634411827254262,2.7789385738991044,9.132454222338737
28.76805555555556,7.1988766535115625,6.673506551346978,2.755907060530188,9.618787390765718
29.84944444444444,6.762645014339602,6.41416969910491,2.968464756149568,9.598902301320157
30.93055555555556,6.2026461728833375,6.358198314758826,2.9324194320982033,10.44250768589656
32.01166666666666,5.730507989255195,6.142941837317127,2.99903437247099,12.24213047131628
33.09305555555556,5.457232460448012,6.837662634654448,3.0517252355630586,12.694312587042285
34.17444444444445,4.912013404516994,6.551460889829608,3.2115343726738557,12.94629071888961
35.25583333333334,4.762568924704025,6.20800688822718,3.2278542015735745,13.557091301380126
