	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.36094206799848	376.09363	0.01868496268554054	0
1	Glucose	l	98.8936025029557	867.0401	0.03642079329395642	0
2	Glucose	l	98.85717608217271	389.25607	0.013148977037303666	0
3	Glucose	l	98.6216663403697	393.55832	0.013931691462374829	0
4	Glucose	l	98.58722201465662	917.6109	0.029477795264938322	0
5	Glucose	l	98.55646445587828	358.77814	0.018444942465521308	0
6	Glucose	l	95.06764412064888	682.0747	0.034424780555326606	0
7	Glucose	l	94.76452364193486	689.0419	0.03621285648068806	0
8	Glucose	l	78.97423854889328	718.1992	0.02526889109137187	0
9	Glucose	l	78.92251479036199	273.87473	0.03431219716208034	0
10	Glucose	l	78.69125034774677	1592.2454	0.048421964276315066	0
11	Glucose	l	78.41859292787291	1271.6514	0.033132560682958	0
12	Glucose	l	77.3291459227336	697.05145	0.032562394419045404	0
13	Glucose	l	77.07516032243498	477.98373	0.023527354692589597	0
14	Glucose	l	77.02654366885943	706.2574	0.038674921499364245	0
15	Glucose	l	76.76930806163386	496.0342	0.03195844230936018	0
16	Glucose	l	75.92662276544672	254.62149	0.03979481073147895	0
17	Glucose	l	75.66974924725872	619.1924	0.039239519817215296	0
18	Glucose	l	75.41877052295618	406.2157	0.03812684041810144	0
19	Glucose	l	74.63446879458763	394.39627	0.03702382239075064	0
20	Glucose	l	74.5078245639001	369.63574	0.02238297725079974	0
21	Glucose	l	74.38672406466205	199.77869	0.02785648187924039	0
22	Glucose	l	74.33399918755177	399.37054	0.03631282897563892	0
23	Glucose	l	74.23129550325586	681.03876	0.03302888057800146	0
24	Glucose	l	74.07960751127354	294.688	0.03472568195519443	0
25	Glucose	l	73.95294548242813	530.23157	0.028739736677692918	0
26	Glucose	l	72.7445624414876	768.1074	0.046534564675397405	0
27	Glucose	l	72.4790603912544	1219.1914	0.05363728833006576	0
28	Glucose	l	72.21301797377188	568.5783	0.05010272489829504	0
29	Glucose	l	63.77006843556396	874.97064	0.045403323217527713	0
30	Glucose	l	63.62951790820284	616.68805	0.038854545548019814	0
31	Glucose	l	63.52034029418371	223.32832	0.012299147514596598	0
32	Glucose	l	63.48509035205211	966.0728	0.030199619717450332	0
33	Glucose	l	63.4534745327623	322.67377	0.01629239675517624	0
34	Glucose	l	63.3436381156441	601.1551	0.04406744137236274	0
35	Alanine	l	53.59177353830452	325.6982	0.025685636576554316	0
36	Alanine	l	53.35979201745846	291.6449	0.042984227046844126	0
37	Acetate	l	26.091536556166773	707.9886	0.01627449572501405	0
38	Acetate	l	25.927052812915804	362.03696	0.017390448602128572	0
39	Acetate	l	25.744410958128782	699.4933	0.018246276431312936	0
40	Alanine	l	19.12301196224911	771.7911	0.018604495665613285	0
41	Alanine	l	18.891070325529512	761.3227	0.020128770475082547	0
