Metabolite_to_reach,modelseed_id,EC,RXN,Enzyme,Reaction,Input,Compound,In model,Output,
malonate,,,rxn01172,3-Oxopropanoate:NAD+ oxidoreductase,H2O + NAD + 3-Oxopropanoate <=> NADH + (2) H+ + Malonate,3-Oxopropanoate,cpd00191,no,,
,??? - which path to 3-oxopropanoate (guess 2-oxoglutarate b/c ubiquity),,rxn00657,beta-alanine:2-oxoglutarate aminotransferase,2-Oxoglutarate + beta-Alanine <=> L-Glutamate + 3-Oxopropanoate,,,,,
,,,rxn00656,L-Alanine:3-oxopropanoate aminotransferase,Pyruvate + beta-Alanine  <=> L-Alanine + 3-Oxopropanoate,,,,,
,,,,,,,,,,
methylmalonate (MMA),Succinyl-CoA → L-methylmatlonyl-CoA → methylmalonate,,rxn02425,(S)-Methylmalonyl-CoA hydrolase,H2O + L-methylmalonyl-CoA  CoA + H+ + Methylmalonate→ ,,,,,
,,,rxn00602,(R)-Methylmalonyl-CoA CoA-carbonylmutase, Succinyl-CoA <=> L-methylmalonyl-CoA, Succinyl-CoA ,cpd00078,yes,,
3-hydroxyisobutyrate,,,rxn13422,3-Hydroxyisobutyrate-dehydrogenase,NADH + H+ + R-Methylmalonate-semialdehyde <=> NAD + 3-Hydroxyisobutyrate ,R-Methylmalonate-semialdehyde,cpd16975,no,,
,,,rxn13496,R-methylmalonate-semialdehyde-dehydrogenase-4,NADH + CO2 + Propionyl-CoA <=> NAD + CoA + R-Methylmalonate-semialdehyde ,Propionyl-CoA,cpd00086,yes,,
Glycerophosphoglycerol,???,,rxn08669,Glycerophosphodiester phosphodiesterase,H+ + Glycerol-3-phosphate + Glycerol,,,,,
,,,,,,,,,,
pipecolate,,,rxn00319,rxn00319,L-Lysine <=> NH3 + L-Pipecolate,L-Lysine,cpd00039,,,
,,,,,,,,,,
Utilization,,,,,,,,,,
5-methyl-2'-deoxycytidine,??? I cannot find an appropriate reaction to get from 5-methy-2’-deoxycytidine to 5-methylcytosine,,,,5-methyl-2'-deoxycytidine → 5-methylcytosine + deoxyribose,,,,,
,, R01411,rxn01025,,H2O + H+ + 5-Methylcytosine => NH3 + Thymine,"Thymine is increased in PBI condition, so more confidence in this vs. other pathway",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
beta-citrylglutamate,HOST,https://www.cell.com/cell-host-microbe/pdf/S1931-3128(19)30246-X.pdf,,,,,,,,
beta-sitosterol,Diet?,,,,,,,,,
campesterol,Diet?,,,,,,,,,
saccharopine,,R02313,rxn17247,,Saccharopine → α-aminoadipate-6-semialdehyde + glutamate,,,,,
,,R03103,rxn02227 ,,α-aminoadipate-6-semialdehyde → α-aminoadipate,,,,,
,,R01939,rxn01423,,2-Oxoglutarate + L-2-Aminoadipate <=> L-Glutamate + 2-Oxoadipate,,,,,
,,R07251,rxn01418,,NAD + CoA + 2-Oxoadipate => NADH + CO2 + Glutaryl-CoA,Glutaryl-CoA,cpd00413,,,
,,,,,,,,,,
trans-4-hydroxyproline,,R04374,rxn03037,,trans-L-3-Hydroxyproline => H2O + 1-Pyrroline-2-carboxylate,,,,,
,,,rxn16338,, 1-Pyrroline-2-carboxylate + AH2 <=> D-Proline + A ,,,,,
