Trans_zn2,Trans_zn2,zinc exporter ABC transport,ATP + H2O + Zn2+=>ADP + Phosphate + Zn2+ [e0],CD630_03130,putative K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporting P-type ATPase,"Cadmium, zinc and cobalt-transporting P-type ATPase (EC 3.6.3.3) (EC 3.6.3.5)"
Trans_fe2,Trans_fe2,Iron atp driven transport,Fe + ATP + H2O=>Fe + ADP + Phosphate,CD630_16470 or CD630_16480 or CD630_16490 or CD630_16500,"ABC-type transport system, iron-family ATP-binding protein",Iron compound ABC uptake transporter ATP-binding protein
Trans_cysL,Trans_cysL,amino-acid ABC transport (L-cysteine),L-Cysteine + ATP + H2O=>ADP + L-Cysteine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_c1ala,Trans_c1ala,Vitamin B12 transport,Methylcobalamin + ATP + H2O=>Methylcobalamin + ADP + Phosphate,(CD630_28750 and CD630_28760 and CD630_28780) or (CD630_29750 and CD630_28770 and CD630_28780),"ABC-type transport system, ferrichrome-specific permease","ABC-type Fe3+-siderophore transport system, permease component"
Trans_metL,Trans_metL,amino-acid ABC transport (L-methionine),L-Methionine + ATP + H2O=>ADP + L-Methionine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_trpL,Trans_trpL,amino-acid ABC transport (L-tryptophan),ATP + H2O + L-Tryptophan [e0]=>ADP + Phosphate + L-Tryptophan,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_spmd,Trans_spmd,spermine ABC transport,ATP + H2O + Spermidine [e0]=>ADP + Phosphate + Spermidine,CD630_10240 or CD630_10260,"ABC-type transport system,spermidine/putrescine permease",Spermidine/putrescine import ABC transporter permease protein PotC (TC 3.A.1.11.1)
Trans_lysL,Trans_lysL,amino-acid ABC transport (L-lysine),ATP + H2O + L-Lysine [e0]=>ADP + L-Lysine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_leuL,Trans_leuL,amino-acid ABC transport (L-leucine),L-Leucine + ATP + H2O=>ADP + L-Leucine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_alaL2,Trans_alaL2,L-alanine transporter,L-Alanine [e0] + ATP + H2O=>ADP + L-Alanine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_pheL,Trans_pheL,amino-acid ABC transport (L-phenylalanine),L-Phenylalanine + ATP + H2O=>ADP + L-Phenylalanine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_cobalt,Trans_cobalt,The ATP-binding Cassette (ABC) Superfamily,ATP + Co2+ [e0] + H2O=>ADP + Co2+ + Phosphate,(CD630_01010 and CD630_01000 and CD630_01020 and CD630_03250 and CD630_03240) or (CD630_03270 and CD630_03260 and CD630_03250 and CD630_03240) or (CD630_04310 and CD630_04300),"ABC-type transport system, cobalt-specific extracellular solute-binding protein","Cobalt ECF transporter, additional substrate-binding protein CbiN"
Trans_ca,Trans_ca,Calcium ATP dependent transport,ATP + Ca2+ [e0] + H2O=>ADP + Ca2+ + Phosphate,CD630_18240 or CD630_25030 or CD630_16370 or CD630_28330,putative cation-transporting P-type ATPase,Cation-transporting ATPase
Trans_valL,Trans_valL,amino-acid ABC transport (L-valine),L-Valine + ATP + H2O=>ADP + Phosphate + L-Valine,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_proL,Trans_proL,amino-acid ABC transport (L-proline),L-Proline + ATP + H2O=>ADP + Phosphate + L-Proline,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_thrL,Trans_thrL,amino-acid ABC transport (L-threonine),L-Threonine + ATP + H2O=>ADP + Phosphate + L-Threonine,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_gly,Trans_gly,amino-acid ABC transport (glycine),ATP + Glycine [e0] + H2O=>ADP + Glycine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_serL,Trans_serL,amino-acid ABC transport (L-serine),L-Serine + ATP + H2O=>ADP + Phosphate + L-Serine,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
Trans_ileL,Trans_ileL,amino-acid ABC transport (L-isoleucine),L-Isoleucine + ATP + H2O=>ADP + L-Isoleucine + Phosphate,CD630_17750 or CD630_17760 or CD630_21720 or CD630_07520 or CD630_07510,"ABC-type transport system, aminoacid-family permease","ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
ID_asnsyna,ID_asnsyna,R_ID_asnsyna,L-Aspartate + ATP + L-Glutamine + NH3=>AMP + L-Asparagine + L-Glutamate + PPi,CD630_03910 or CD630_16320 or CD630_26950,Aspartate--ammonia ligase (Asparagine synthetase A),Aspartate--ammonia ligase (EC 6.3.1.1)
ID_cbmylphsyn,ID_cbmylphsyn,R_ID_cbmylphsyn,ATP + L-Glutamine + H2O + H2CO3=>M-cmylphosph-c_c0 + ADP + L-Glutamate + H+ + Phosphate,CD630_35900 or CD630_35880,Carbamoyl-phosphate synthase large chain 1,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
ID_470,ID_470,asparagine synthase (glutamine-hydrolysing),L-Aspartate + ATP + L-Glutamine + H2O=>AMP + L-Asparagine + L-Glutamate + PPi,CD630_03910 or CD630_16320 or CD630_15370,putative glutamate synthase,NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B
ID_222,ID_222,aspartate-ammonia ligase,L-Aspartate + ATP + NH3=>AMP + L-Asparagine + PPi,CD630_26950,Aspartate--ammonia ligase (Asparagine synthetase A),Aspartate--ammonia ligase (EC 6.3.1.1)
ID_glyamintrans,ID_glyamintrans,R_ID_glyamintrans,L-Alanine + Glyoxalate=>Glycine + Pyruvate,CD630_09940 or CD630_25320,"Aminotransferase, alanine--glyoxylate transaminase",Serine--glyoxylate aminotransferase (EC 2.6.1.45)
ID_439,ID_439,aspartate:2-oxoglutarate aminotransferase,L-Glutamate + Oxaloacetate=>2-Oxoglutarate + L-Aspartate,CD630_01070 or CD630_25150 or CD630_23820 or CD630_13390 or CD630_28280,Aspartate aminotransferase (AspAT) (Transaminase A),Alanine transaminase (EC 2.6.1.2)
ID_445,ID_445,glutamine-fructose-6-phosphate transaminase (isomerizing),M-fru6p-c_c0 + L-Glutamine=>D-Glucosamine phosphate + L-Glutamate,CD630_01200 or CD630_24200 or CD630_33310,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing,Glutamine--fructose-6-phosphate aminotransferase
ID_142,ID_142,4-aminobutanoate:pyruvate aminotransferase,GABA + Pyruvate=>4-Oxobutanoate + L-Alanine,CD630_25320,"Aminotransferase, alanine--glyoxylate transaminase",Serine--glyoxylate aminotransferase (EC 2.6.1.45)
ID_12,ID_12,glutamate racemase,L-Glutamate=>D-Glutamate,CD630_35620 or CD630_20280 or CD630_28190 or CD630_04480,Glutamate racemase,Glutamate racemase (EC 5.1.1.3)
ID_92,ID_92,asparaginase,L-Asparagine + H2O=>L-Aspartate + NH3,CD630_03910 or CD630_16320 or CD630_15370,putative glutamate synthase,NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B
ID_543,ID_543,glutamate synthase (NADPH),2-Oxoglutarate + L-Glutamine + H+ + NADPH=>L-Glutamate + NADP,CD630_13390 or CD630_15370,putative glutamate synthase,NADH-dependent reduced ferredoxin:NADP+ oxidoreductase subunit B
ID_675,ID_675,L-glutamine aminohydrolase,L-Glutamine + H2O=>L-Glutamate + NH3,CD630_01980 or CD630_03910 or CD630_05580 or CD630_15370 or CD630_16320 or CD630_35880 or CD630_35890 or CD630_35900 or CD630_35910,Carbamoyl-phosphate synthase small chain,Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)
ID_759,ID_759,4-aminobutanoate:glyoxylate aminotransferase,GABA + Glyoxalate=>Glycine + 4-Oxobutanoate,CD630_25320,"Aminotransferase, alanine--glyoxylate transaminase",Serine--glyoxylate aminotransferase (EC 2.6.1.45)
