	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.37671902474008	208.57358	0.02391886920571551	0
1	Glucose	l	98.90508728141492	470.04297	0.038767104364779925	0
2	Glucose	l	98.86870747838313	190.76141	0.012609047692961894	0
3	Glucose	l	98.80013825826222	64.26462	0.0226138843387389	0
4	Glucose	l	98.63337863687755	205.3987	0.012842396589803684	0
5	Glucose	l	98.59912312090347	477.59656	0.03220115742644225	0
6	Glucose	l	98.56831993725021	166.5578	0.019820048718514727	0
7	Glucose	l	95.07776016736875	358.98682	0.03607991952367229	0
8	Glucose	l	94.77624799228917	363.52658	0.03624375512984557	0
9	Glucose	l	78.98894016211554	395.09464	0.029284817855824485	0
10	Glucose	l	78.93695653008635	159.04128	0.030135607456060143	0
11	Glucose	l	78.70322664635913	873.9036	0.054966864547765226	0
12	Glucose	l	78.53231137484502	72.933014	0.012548298141950909	0
13	Glucose	l	78.4310615043918	672.7469	0.03906557055094595	0
14	Glucose	l	77.33807897553731	382.70468	0.03169261393503575	0
15	Glucose	l	77.0855261706557	252.2521	0.027025200699313245	0
16	Glucose	l	77.0353972500734	367.4206	0.04063832290668756	0
17	Glucose	l	76.77850818181264	295.12842	0.03886976428361777	0
18	Glucose	l	75.93093356208644	148.49435	0.03873034308000456	0
19	Glucose	l	75.68348100704003	322.69208	0.04210043841621314	0
20	Glucose	l	75.43502902456086	235.9286	0.04754387801895632	0
21	Glucose	l	74.6577417683065	164.66928	0.020207404709282173	0
22	Glucose	l	74.6354385243333	172.77205	0.019944815152427964	0
23	Glucose	l	74.51917657096953	210.61992	0.03347594884402838	0
24	Glucose	l	74.40107247771431	168.59686	0.024513891366808593	0
25	Glucose	l	74.34796171621	208.81032	0.040241536586023585	0
26	Glucose	l	74.2440472210773	388.31122	0.03716883165631657	0
27	Glucose	l	74.18622527991084	68.608665	0.022966204492433917	0
28	Glucose	l	74.09200649567015	176.64917	0.03633689227908121	0
29	Glucose	l	73.9662965927563	302.90872	0.03007576589254768	0
30	Glucose	l	72.75572451881544	421.47946	0.050234104345179276	0
31	Glucose	l	72.53099811075163	187.76251	0.02649614533382305	0
32	Glucose	l	72.48428598400031	646.0105	0.0496525704047599	0
33	Glucose	l	72.10138954516509	85.65969	0.022989822856487763	0
34	Glucose	l	72.25991600544953	96.16874	0.045909457820215493	0
35	Glucose	l	72.21525722407657	318.1228	0.03314572714538144	0
36	Glucose	l	63.78310353309524	473.12643	0.04951883146461	0
37	Glucose	l	63.642682681376414	374.3042	0.03940739946830263	0
38	Glucose	l	63.49685251996806	507.80554	0.04653651418482241	0
39	Glucose	l	63.35493490026593	348.40466	0.04832685482537613	0
40	Alanine	l	53.60689294753192	139.92508	0.022576429158448263	0
41	Alanine	l	53.551021033018515	100.2094	0.022302853531925848	0
42	Alanine	l	53.37433124773787	152.13203	0.049757468773947267	0
43	Acetate	l	26.03452786943683	397.24597	0.015968625916286783	0
44	Acetate	l	25.86930699873821	124.452385	0.013264739760586508	0
45	Acetate	l	25.688000089479374	434.28015	0.018704235807661007	0
46	Alanine	l	19.12390231475416	365.4838	0.017254468452847505	0
47	Alanine	l	19.01829736512198	100.111786	0.0	0
48	Alanine	l	18.89208065748707	379.3587	0.01982732988420821	0
