Met,L,k,x0,C
Glucose,0.589pm0.435,-0.494pm0.603,30.482pm4.026,27.191pm0.421
Acetate,21.052pm0.244,0.107pm0.055,-22.263pm12.066,
Alanine,8.209pm0.096,0.117pm0.094,-24.179pm20.592,
