Met,L,k,x0,C
Glucose,22.982pm16.961,-0.494pm0.603,30.482pm4.026,1061.411pm16.432
Acetate,57.951pm0.673,0.107pm0.055,-22.263pm12.066,
Alanine,100.535pm1.177,0.117pm0.094,-24.179pm20.592,
