Time,Glucose,Acetate,Alanine,Ethanol
0.4430555555555555,27.019342188467053,0.0,0.0,0.0
1.284166666666667,28.481118061295636,0.0,0.0,0.0
2.125277777777778,26.92280937294213,0.0,0.0,0.0
2.966388888888889,20.439800618211184,0.0,0.0,0.0
3.8075,6.106316688297456,17.434665222430187,2.8780487637090326,0.0
4.648611111111111,0.0,19.285043378962133,7.388934882244048,0.0
5.489722222222222,0.0,21.050410088800906,8.857532312698446,0.0
6.330833333333334,0.0,27.57776190098814,7.853340056533269,0.0
7.171666666666667,0.0,23.751225609429053,9.615039242384531,0.0
8.012777777777778,0.0,26.51744604663122,10.02719197139691,0.0
8.85388888888889,0.0,28.716197620152382,9.453713967695599,0.0
9.695,0.0,26.475013704148044,9.691770242197023,0.0
10.53611111111111,0.0,26.524006586081654,11.674529537858701,0.0
11.37722222222222,0.0,31.653284818951672,9.63601194049023,0.0
12.21861111111111,0.0,26.802093609362352,10.28927745867251,0.0
13.05972222222222,0.0,29.587645774503496,9.654402416135735,0.0
13.90083333333333,0.0,26.500727041174244,7.242873711489749,0.0
14.74166666666667,0.0,28.33246318579635,10.266581571001323,0.0
15.58277777777778,0.0,27.600400323481427,11.149778732115916,0.0
16.42388888888889,0.0,29.755305246455315,10.116550138567156,0.0
17.81166666666667,0.0,28.73222614531409,7.853513640883023,3.627607720361079
19.41888888888889,0.0,27.941002517067915,7.138056687431035,3.708411559101427
21.02638888888889,0.0,27.594803192856606,9.516525087867302,
22.63388888888889,0.0,29.570305341248545,9.699292498065107,
24.24111111111111,0.0,32.83916007311178,10.03713271657193,
25.84861111111111,0.0,30.473048044876794,11.041123280993192,
27.45611111111111,0.0,30.88385873621675,11.388358832985789,
29.06333333333333,0.0,34.58238849657675,7.321634799475357,3.553457559038427
30.67055555555556,0.0,34.10799649186612,7.3032959963948,4.0359939621939755
32.27805555555555,0.0,31.592909541274885,10.903071872956124,
33.88527777777778,0.0,35.06340081309054,10.188205484685025,
35.49277777777777,0.0,28.746499183052897,10.825167883088943,
