,parameter,values,met_id,met_name
0,L,27.802171869273028,glc,Glucose
1,k,-2.8062475479698303,glc,Glucose
2,x0,3.3402800707617675,glc,Glucose
3,C,-0.022171869273025405,glc,Glucose
0,L,29.4065238376943,ac,Acetate
1,k,1.1586354380761692,ac,Acetate
2,x0,4.212220054576503,ac,Acetate
0,L,9.590577058092547,alaL,Alanine
1,k,2.3895207152501143,alaL,Alanine
2,x0,4.180564195235538,alaL,Alanine
0,L,3.765954361191866,eto,Ethanol
1,k,11.492448745708698,eto,Ethanol
2,x0,17.52743592847936,eto,Ethanol
