	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.27238429876496	177.99168	0.0	0
1	CO2	l	127.22850285298685	1807.2281	0.018318768652193285	0
2	Lactate	l	71.06968414994145	184.34018	0.0	0
3	Ethanol	l	60.278777993760656	1537.6348	0.01912786901209529	0
4	Ethanol	l	60.23272086396301	375.51556	0.010441306172452869	0
5	Ethanol	l	60.03195054245566	1559.3475	0.01979359842374606	0
6	Ethanol	l	59.98600823742419	360.46075	0.011693425593534812	0
7	Alanine	l	53.643173100962116	194.6237	0.0361487436745449	0
8	Alanine	l	53.47587616464671	230.25403	0.024519491041104402	0
9	Alanine	l	53.414464310639545	207.92987	0.0539738710283757	0
10	Alanine	l	53.28811258563479	140.63196	0.017921160426197957	0
11	Alanine	l	53.241646927516115	246.029	0.05864216039847747	0
12	Alanine	l	53.05465518319417	182.26582	0.037305578771054115	0
13	Acetate	l	26.019196184530642	310.4829	0.022637828109594693	0
14	Acetate	l	25.673397876707526	324.98816	0.025338523855424455	0
15	Lactate	l	22.889617204211135	683.86237	0.02158793079439647	0
16	Lactate	l	22.64472140860542	677.5375	0.02435751852095791	0
17	Ethanol	l	19.628111727794618	1916.2289	0.019156207795163027	0
18	Ethanol	l	19.38113050198001	1853.1398	0.020483798298954525	0
19	Alanine	l	18.984605024696208	1332.2977	0.021163796516759703	0
20	Alanine	l	18.753446663218654	1214.2587	0.022491034067172677	0
