Time,Glucose,Acetate,Alanine
0.8761111111111111,28.345540139500937,19.257812291527394,8.038902567093604
2.483611111111111,27.83766561559778,20.21269540580647,7.686848816277818
4.090833333333333,27.56953224520765,19.53048860972906,7.7660579005004005
5.698333333333333,27.91705851005637,19.915348860224977,7.958536878501459
7.305555555555555,27.575301805371765,19.871281212622595,7.90144853888144
8.913055555555555,27.550116830131948,20.303272125020705,7.9981740408804125
10.52027777777778,27.659705615438632,20.339752006342948,8.100708476784847
12.12777777777778,27.849419572786143,21.13265972463993,7.916144800505799
13.73527777777778,27.86611603625722,20.42198973506402,8.292788310751154
15.3425,27.677471003866344,20.942911707473918,8.388297579042058
16.95,27.80377742975433,20.809591322111004,8.048645521033384
18.55777777777778,27.735114261195175,21.067885141623385,8.297712822985275
20.165,27.714043633350343,20.31058980819048,8.258642847384493
21.77222222222222,27.797211229118084,20.76185013226071,
23.37972222222222,27.82428077847452,21.237866316362503,8.167152090058902
24.98722222222222,27.75079689859569,21.124079413107943,
26.59444444444444,27.56716069676181,20.74022911889042,
28.20194444444444,27.670364241678858,20.062334519021764,8.462770750691725
29.80944444444444,27.67920313037473,20.571453728264153,8.049963569607325
31.41666666666667,27.252448031552227,21.643174782616594,7.9847342842685585
33.02388888888889,27.38828160634931,20.89065586432586,8.187158820639977
34.63111111111111,27.2547741472673,21.404737089206407,8.069846934298264
