	cpd	cv	ppm	amp	fwhm	fwhm2
0	Butyrate	l	43.99077555058429	0.050008025	0.09968562520884916	0
1	Butyrate	l	42.590959633943015	60.744606	0.005373701421291344	0
2	Butyrate	l	42.55320330913284	4230.6855	0.02025913223860698	0
3	Butyrate	l	42.501852706509055	185.00874	3.1850647133069288e-06	0
4	Butyrate	l	42.43032375442323	340.73633	2.2785587930229667e-05	0
5	Butyrate	l	42.33190760454639	1539.285	0.03888510255666233	0
6	Butyrate	l	42.21418018268582	1298.521	0.026167191017094638	0
7	Butyrate	l	41.80934893198929	1.660257	0.0004752107508636527	0
8	Butyrate	l	42.209252807475565	294.6609	0.3408374796520093	0
9	Butyrate	l	42.61969711384177	1258.8616	2.743090394119463e-05	0
10	Butyrate	l	42.46299937568858	0.05000007	0.10415750859911554	0
11	Butyrate	l	42.17461194300819	0.5476593	0.26178085557594954	0
12	Butyrate	l	42.440511201963744	53.347546	0.30084158885853185	0
13	Butyrate	l	41.91611748321469	0.050000004	0.034968582535412907	0
14	Butyrate	l	42.214192857145804	1443.9612	0.026281289538815145	0
15	Butyrate	l	42.116828226744246	0.05	0.0017054723536205074	0
16	Butyrate	l	41.748664005131815	0.05	0.3611575468828505	0
17	Butyrate	l	41.86799394761155	99.60416	0.005534293511288979	0
18	Butyrate	l	42.03312326835456	6.9894085	0.0077664736679992075	0
19	Butyrate	l	41.993394299639874	4331.561	0.019609863249939963	0
20	Butyrate	l	41.94136231843419	0.05	0.03919889425580436	0
21	Butyrate	l	41.77646671596844	232.90208	1.0005403225932241e-06	0
22	Butyrate	l	41.89382709585837	408.81534	0.0013013056491217867	0
23	Butyrate	l	41.95881036451473	432.93863	0.007351257656665666	0
24	Butyrate	l	26.782353422798423	515.03796	0.00014562575933041444	0
25	Butyrate	l	22.21560616128977	3472.4165	0.02507223626855648	0
26	Butyrate	l	23.28816483725882	0.050018266	0.46167587418415224	0
27	Butyrate	l	26.783062791292963	212.35028	0.0037532963906414807	0
28	Butyrate	l	18.360035500667806	0.05000092	0.0869546745015839	0
29	Butyrate	l	21.990015412775534	6680.538	0.028552265004663013	0
30	Butyrate	l	21.48663303403694	3331.8154	3.193468330664473e-06	0
31	Butyrate	l	26.36191341868414	58408.785	0.006803834272801623	0
32	Butyrate	l	16.88780833586955	28714.848	0.4505177688363631	0
33	Butyrate	l	20.966008520576935	0.050000057	0.13746861912355257	0
34	Butyrate	l	21.428425137468565	277.51022	6.020312824261964e-05	0
35	Butyrate	l	23.107189246620152	0.093226634	3.669966730512897e-05	0
36	Butyrate	l	16.127973030534406	16.342844	8.421554298365663e-08	0
37	Butyrate	l	16.097183347293708	0.05038626	0.04670575988177461	0
38	Butyrate	l	16.042896614232944	5297.6846	0.03864374170825613	0
39	Butyrate	l	15.9974577507096	0.05	0.04666213413048581	0
40	Butyrate	l	15.964560105786262	0.05	0.048011482611229894	0
41	Butyrate	l	15.931996824445491	0.05	0.0465631779775606	0
42	Butyrate	l	15.902595875716997	0.05	0.04955971176883622	0
43	Butyrate	l	15.869540724895614	0.05	0.04438541887580527	0
44	Butyrate	l	15.813530552561815	4913.875	0.03896639574247729	0
45	Butyrate	l	15.77013291922026	0.05	0.047545785491507786	0
46	Butyrate	l	15.73752523710911	0.05	0.04722839464818662	0
47	Butyrate	l	15.701264045367083	121.6116	0.02171313515532347	0
48	Butyrate	l	15.679730164928742	17.532955	0.03948371030529074	0
