Met,L,k,x0,C
Mannitol,27.475pm1.213,-0.235pm0.018,15.750pm0.423,0.305pm0.430
Alanine,3.124pm0.067,0.459pm0.047,16.564pm0.298,
AlanineN15,1.413pm0.046,0.439pm0.063,22.455pm0.421,
