Met,L,k,x0,C
Mannitol,2044.452pm90.282,-0.235pm0.018,15.750pm0.423,22.685pm32.032
Alanine,72.938pm1.568,0.459pm0.047,16.564pm0.298,
AlanineN15,32.993pm1.068,0.439pm0.063,22.455pm0.421,
