,parameter,values,met_id,met_name
0,L,23.778443908436177,mnl1p,Mannitol
1,k,-0.2621015338597334,mnl1p,Mannitol
2,x0,11.646648125931964,mnl1p,Mannitol
3,C,4.001556091563824,mnl1p,Mannitol
0,L,4.3645518053744015,ac,Acetate
1,k,17.330649160728434,ac,Acetate
2,x0,8.743564807038886,ac,Acetate
0,L,4.857672340097493,alaL,Alanine
1,k,0.36470342737872424,alaL,Alanine
2,x0,14.734734651004969,alaL,Alanine
0,L,7.721810228553511,eto,Ethanol
1,k,0.2828229401503132,eto,Ethanol
2,x0,18.670967314094007,eto,Ethanol
