	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	73.95544624206894	1044.476	0.02690610006050065	0
1	Mannitol	l	74.2074228684179	33.039722	0.11638579915455693	0
2	Mannitol	l	73.87116953330687	923.991	0.031066902408753094	0
3	Mannitol	l	73.74749484386334	910.7417	0.03320825519651294	0
4	Mannitol	l	73.66176304383865	1018.5812	0.025196329596411715	0
5	Mannitol	l	73.67836877021304	1309.4766	0.03337075453242733	0
6	Mannitol	l	73.59838682728198	837.35144	0.02587652960653486	0
7	Mannitol	l	73.4809319902028	0.05	0.06983621857216349	0
8	Mannitol	l	73.4745749195773	1239.7435	0.031897445686070114	0
9	Mannitol	l	73.39097978902299	1561.5249	0.025717333831323685	0
10	Mannitol	l	73.20056204401519	255.7329	0.03106677586765727	0
11	Mannitol	l	72.39519317361078	491.4178	0.02917986884705215	0
12	Mannitol	l	72.20306265026153	2589.667	0.03287902734717818	0
13	Mannitol	l	71.99461363100102	1619.6808	0.034053772733585674	0
14	Mannitol	l	72.1198200943258	1866.7351	0.03159471713365747	0
15	Mannitol	l	71.91102047522767	1752.2726	0.03188976233820995	0
16	Mannitol	l	66.06759740330631	4921.7607	0.030712176057676288	0
17	Mannitol	l	65.80001864152598	3352.0283	0.030138673925421244	0
18	Mannitol	l	65.78727892829087	1968.441	0.018804456565590044	0
