Met,L,k,x0,C
Mannitol,1688.321pm102.737,-0.208pm0.024,13.872pm0.601,-24.953pm32.357
Alanine,44.739pm1.721,0.426pm0.079,14.717pm0.496,
AlanineN15,22.902pm1.965,0.482pm0.181,21.561pm0.985,
