Met,L,k,x0,C
Mannitol,28.197pm1.716,-0.208pm0.024,13.872pm0.601,-0.417pm0.540
Alanine,2.381pm0.092,0.426pm0.079,14.717pm0.496,
AlanineN15,1.219pm0.105,0.482pm0.181,21.561pm0.985,
