Time,Mannitol,Acetate,Alanine,Ethanol
0.2752777777777778,25.4607470315099,0.0,0.0,0.0
1.364444444444444,24.981981999199142,0.0,0.0,0.0
2.223611111111111,24.26519957824694,0.0,0.0,0.0
3.064722222222222,24.00434669023925,0.0,0.0,0.0
3.905833333333333,25.99676868881957,0.0,0.0,0.0
4.746944444444445,24.649470376629193,0.0,0.0,0.0
5.588055555555556,24.607200023852613,0.0,0.0,0.0
6.428888888888889,23.731782496563202,0.0,0.0,0.0
7.27,23.511559202728968,0.0,0.0,0.0
8.11111111111111,22.487416323381737,0.0,0.0,0.0
8.952222222222222,20.932932296598896,0.0,0.0,0.0
9.793333333333333,19.278117486545252,2.88544036238495,0.0,0.0
10.63444444444444,17.52334737773346,6.033492913686462,0.0,0.0
11.47555555555556,15.887168509943997,6.642653593138201,0.0,0.0
12.31694444444445,14.629953748579235,7.1630387116864025,1.0707003995986288,0.0
13.15805555555556,13.431710289603677,8.636692714277906,1.3645332386521234,0.0
13.99916666666667,12.243961899992888,8.495142588126662,1.6741041954623543,0.0
14.84027777777778,11.34886323953654,8.503318755723267,1.9762523037640942,0.0
15.68111111111111,10.109017041123721,9.169058617456894,2.202249363031739,0.0
16.52222222222222,9.292771081804105,9.299887097334778,2.5330873674958343,0.0
17.90972222222222,8.230515509644883,9.517413715987189,5.30095421329944,0.0
19.51722222222222,6.895762476186387,10.010156781421989,6.117901524466907,0.0
21.12444444444445,5.582166585661994,10.159053268998308,6.661988145328156,0.0
22.73194444444444,4.2136366470293085,10.326363439442725,7.080636479584558,0.0
24.33916666666667,2.9464513202571485,10.191976474674746,5.971934810889624,2.6695013840577517
25.94666666666667,2.5133996904792415,10.975231229396778,6.280119458616347,3.5361490747350626
27.55416666666667,0.36360867379813194,10.817212540841883,6.697047827204866,4.253523244860275
29.16138888888889,0.0,11.164428790319992,6.9210378325199295,4.702665891875205
30.76888888888889,0.0,10.708231971432868,6.983952790347388,4.633472965806436
32.37611111111111,0.0,11.126280673518222,6.865957056920948,4.826929384755319
33.98333333333333,0.0,11.198965934820643,7.199478028718466,4.812633344436427
35.59083333333334,0.0,11.346628000207446,6.538690524130122,4.7999903104396555
