Time,Mannitol,Alanine,AlanineN15
0.275277777777778,,0.0,0.0
1.36444444444444,27.64414819311969,0.0,0.0
2.22361111111111,,0.0,0.0
3.06472222222222,,0.0,0.0
3.90583333333333,,0.0,0.0
4.74694444444445,,0.0,0.0
5.58805555555556,27.62197222974581,0.0,0.0
6.42888888888889,27.1319288570844,0.0,0.0
7.27,,0.0,0.0
8.11111111111111,27.769086008704996,0.0,0.0
8.95222222222222,,0.0,0.0
9.79333333333333,27.07756716761468,0.0,0.0
10.6344444444444,26.670105481205134,0.0,0.0
11.4755555555556,,0.13169755921244825,0.0
12.3169444444445,,,0.0
13.1580555555556,25.81644458166809,0.8774731098934386,0.0
13.9991666666667,,0.9287417747720553,0.0
14.8402777777778,24.56231694999423,1.09286463326219,0.0
15.6811111111111,,1.3890523444652576,0.0
16.5222222222222,,1.1838240330433034,0.0
17.9097222222222,,1.347554661289107,0.24115883937381144
19.5172222222222,17.371913205225567,1.6118287896414916,0.3133161588352791
21.1244444444444,,1.9285231128958014,0.9505285939688711
22.7319444444444,13.875737311590495,3.0927271922499493,0.29203372204326095
24.3391666666667,11.248174165639256,3.0729820787995825,1.2316666227067063
25.9466666666667,,3.0142468181740365,1.7387870726283992
27.5541666666667,5.020957680091351,3.6381041039315343,2.022759179422158
29.1613888888889,0.0,3.4290619894905108,2.3362654916451113
30.7688888888889,0.0,4.526731447398263,1.4761796216963596
32.3761111111111,0.0,3.478294372493363,2.286585271595914
33.9833333333333,0.0,3.305562827413629,2.3517435094129553
35.5908333333333,0.0,4.759657889516046,0.7428806737362147
