Time,Mannitol,Alanine,AlanineN15
0.275277777777778,,0.0,0.0
1.36444444444444,24.509844243446626,0.0,0.0
2.22361111111111,,0.0,0.0
3.06472222222222,,0.0,0.0
3.90583333333333,,0.0,0.0
4.74694444444445,,0.0,0.0
5.58805555555556,23.911105650620414,0.0,0.0
6.42888888888889,23.808762936589922,0.0,0.0
7.27,,0.0,0.0
8.11111111111111,22.657520556762254,0.0,0.0
8.95222222222222,,0.0,0.0
9.79333333333333,19.33723480461784,0.0,0.0
10.6344444444444,17.77881025677637,0.0,0.0
11.4755555555556,,0.22256561630432903,0.0
12.3169444444445,,,0.0
13.1580555555556,13.57482174140965,1.2811046223318014,0.0
13.9991666666667,,1.2573795150976934,0.0
14.8402777777778,11.399663005281042,1.408322544025766,0.0
15.6811111111111,,1.7894747680268706,0.0
16.5222222222222,,1.3792103408569185,0.0
17.9097222222222,,1.5157541133687338,0.27125987038358923
19.5172222222222,6.9777669358986145,1.79763201932552,0.34943361411211155
21.1244444444444,,1.8895929620758782,0.9313407391413026
22.7319444444444,4.2266788247055995,2.6157598494141836,0.24699562467390618
24.3391666666667,3.0942985215139447,2.347217221025657,0.9407764292947073
25.9466666666667,,2.1565520485149374,1.2440204965297386
27.5541666666667,1.1638429818698446,2.341510077190943,1.3018624170839843
29.1613888888889,0.0,2.345226048409683,1.5978336652411664
30.7688888888889,0.0,2.784771640489165,0.9081217197301878
32.3761111111111,0.0,2.2423490213501736,1.474090947144699
33.9833333333333,0.0,2.112689429293751,1.5030734286888328
35.5908333333333,0.0,2.9993428665801694,0.46813319385808694
