	cpd	cv	ppm	amp	fwhm	fwhm2
0	Mannitol	l	65.67655971544312	103.14411	0.018308743498693048	0
1	Alanine	l	53.621476960507096	91.80626	0.02190426751425889	0
2	AlanineN15	l	53.56962382161413	83.76343	0.01363688607699487	0
3	Alanine	l	53.45248903751761	138.5147	0.02311500937341293	0
4	AlanineIgnore	l	53.39179630397069	167.34375	0.02118154293907537	0
5	AlanineN15	l	53.347324119059124	52.831223	0.018825494093675843	0
6	Alanine	l	53.26865459535961	105.277626	0.021350180643310068	0
7	Alanine	l	53.219060151495796	175.41641	0.022893634151756714	0
8	AlanineN15	l	53.16175728748104	67.46357	0.03195598717624648	0
9	Alanine	l	53.0229257879767	77.94536	0.05608419973017931	0
