	cpd	cv	ppm	amp	fwhm	fwhm2
0	CO2	l	127.29406741449303	109.37069	0.0676006952698458	0
1	CO2	l	127.2496560184148	236.6561	0.02371099018742484	0
2	CO2	l	127.21425035108611	1112.4186	0.018523139195565363	0
3	Ethanol	l	60.26099837758511	311.6886	0.01875674061824384	0
4	Ethanol	l	60.01464913325458	292.4518	0.022926318476208962	0
5	Alanine	l	53.46246042596226	169.99458	0.03364427665741232	0
6	Alanine	l	53.403934988291724	172.9104	0.0472712045529704	0
7	Alanine	l	53.27946969563678	178.34067	0.0	0
8	Alanine	l	53.22902664802638	204.63373	0.16883680810482815	0
9	Acetate	l	25.978913370735967	505.6233	0.027911535030710866	0
10	Acetate	l	25.631947745472075	485.52444	0.03152069234832311	0
11	Lactate	l	22.881270219542472	180.82758	0.0	0
12	Lactate	l	22.633368350461467	199.80597	0.02813660890541314	0
13	Ethanol	l	18.965676339534383	1141.0907	0.020716540283501672	0
14	Alanine	l	18.733463070649094	1120.9005	0.024738319611742554	0
