Met,L,k,x0,C
Mannitol,846.777pm25.175,-0.175pm0.009,16.579pm0.263,159.539pm12.289
Acetate,16.430pm0.239,1.075pm0.156,13.464pm0.155,
Alanine,33.403pm0.792,0.359pm0.037,17.669pm0.360,
Ethanol,97.082pm5.617,0.254pm0.031,23.662pm0.720,
