Met,L,k,x0,C
Mannitol,23.376pm0.695,-0.175pm0.009,16.579pm0.263,4.404pm0.339
Acetate,6.432pm0.093,1.075pm0.156,13.464pm0.155,
Alanine,2.939pm0.070,0.359pm0.037,17.669pm0.360,
Ethanol,13.223pm0.765,0.254pm0.031,23.662pm0.720,
